,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
SGPA_Sem1,0.2532913229243618,-0.24572404646381815,0.011629532881514899,0.00904785476876486,0.011163965501755573,-0.00351524734558268,0.0019157073923705076,0.005678069537015241,-0.001620447799960848,0.003843951663280391,-0.0015588447080812527,-0.013601101146185977,-0.022190943394473073,0.9053756518881664,-0.22988041563226372,0.010509611287148385,-0.025101328792174495,-0.02251423683537911,0.01114613387180516,0.021311861906113172
SGPA_Sem2,0.25499638058691565,-0.2368010669753425,0.009288191370896958,0.010248237421599193,0.010062645364223624,-0.004772010082039698,0.0024943208678381763,0.007591974348149775,-0.0008468611733239586,-0.002513176904173312,0.00011971366153596123,-0.017001017454878364,-0.05878440644848386,0.09763798890503869,0.9282667668336008,-0.026982771482137236,0.03002330944783177,-0.03408568332267207,0.0232603003469208,0.015050406749606974
SGPA_Sem3,0.25639911044866387,-0.2290519871952517,0.010169909941031164,0.013501303491563593,0.009075694507510829,-0.006304055112891091,0.0006248522926601415,0.005191238109858655,0.0008047380807977727,0.0007880107614373885,0.0013281866064546808,-0.021701627386481084,-0.07736237938415413,-0.16083849629469182,-0.08577487479321942,0.8839681601939655,0.06938141725386428,0.23518216945028828,0.011118153628632778,-0.005146338898278459
SGPA_Sem4,0.2577624987810212,-0.22094232361866253,0.008169560320307205,0.017513487583018707,0.0065708335434167,-0.006933737471946291,-0.0017781208380374203,0.005446084409519877,0.00230538837315838,-0.0014201956244038198,0.002503810761799063,-0.017289964272200604,-0.09261637824335935,-0.1460655044875721,-0.153984669163668,-0.25136022245577005,0.8728698695705248,-0.002118001816813461,0.038022504017858186,-0.06143884140303219
SGPA_Sem5,0.25910042004489353,-0.21259121073594914,0.009541713702707092,0.019272223335515634,0.004000385011616218,-0.009487643345134295,0.000867818878599315,0.005122035587150006,0.007174564640338564,-0.0025242307520522782,0.003647037484733606,-0.019518553976463276,-0.11748295630890063,-0.14053646640466716,-0.09172550543130564,-0.36246148064638284,-0.2956013126071187,0.7822625008448578,0.08030690237279191,-0.08669352495567254
SGPA_Sem6,0.2603106603230437,-0.20472354291303654,0.010009993463691528,0.021508145588261,0.0036899168830154577,-0.010041615929761806,0.0025975557618970507,0.0036240172158456146,0.006849969557283874,-0.001977074510773169,0.0029054823919401527,-0.0213657294806251,-0.145829254862414,-0.19088558935737537,-0.13893301742679134,-0.06406807798864168,-0.2631348566379543,-0.4356344781128314,0.7264424292360453,-0.14583277169280331
SGPA_Sem7,0.2615185335543602,-0.19667257605967498,0.010409526799230621,0.022782695779762573,0.0027438747013030394,-0.011803351552705262,0.0028387424754972596,0.0033838056144654014,0.009657602896190304,-0.006332980431891294,0.005302760584260958,-0.01747327749865788,-0.1395685231116305,-0.14793916189884815,-0.09813347042991002,-0.07139178483281128,-0.21810366232385617,-0.3135100767501134,-0.6205648428280979,-0.5519207775101218
SGPA_Sem8,0.2626041728909251,-0.18856114832646279,0.009170087932315005,0.026212619720639502,0.0033919197215171283,-0.015344173461096046,0.0006849117184979446,0.0038879614772680776,0.009661034120890115,-0.005507753752592978,0.010864634721611692,-0.02108116230338107,-0.15914381661202684,-0.18458702284482048,-0.12357260213777195,-0.11073220313908212,-0.15906048982905932,-0.20399959013543886,-0.27966398996411906,0.8134524800895574
CGPA,0.25401829177361585,-0.15721930947904778,-0.04659690364649141,-0.26347709950881903,-0.009642198739627472,0.1128130045232227,-0.004976388077323783,-0.045279178928552544,-0.07885854322930656,0.031378443925837454,-0.0630224404392157,0.14805376759663505,0.880621284048641,-0.09764438618266062,-0.037588033554343966,-0.03681529063222877,-0.04296565275318363,-0.03318272784448052,-0.010813123042266474,0.017749458826831377
AttendancePercent,0.1958557432817892,0.2382824220989073,-0.055383951063432656,-0.1129284979087472,-0.5264164261965323,0.16650855661763372,0.02782026754754212,0.6206585812394938,0.09142393378332761,0.3710997754098285,-0.05632397653314599,-0.2202453061678255,-0.01567221157067737,0.011207234041929436,0.005160833866576835,0.004429314178699397,0.005113326418900678,0.003003464852573251,0.0012037168591408865,-0.0018812590431287633
Internships,0.18011507529736293,0.2462150605747106,-0.08346297082970197,-0.25424501251067133,0.6958451794329689,-0.20215482327011605,0.03379202740956347,0.515908584209719,-0.15338611971487512,-0.1256720535619037,0.0002520904421290628,-0.05301384517005769,-0.027467626686479684,0.0064047344075490184,0.0002776694606421674,0.0014889523902826365,0.0024844851473293556,0.0028755931993653095,0.002378372596065239,-0.0032052062835724615
Projects,0.20147279031519114,0.25847721310361566,-0.0706093899557551,-0.16860229909947347,0.27847041517568394,-0.06647703748221097,-0.048336035635257096,-0.4524582947926091,0.36988752643109957,0.6127273965922563,-0.0783677518350522,-0.22457532238742087,-0.03230867768336922,0.011802683798371134,0.008297938652996939,0.0033900956057157368,0.006582577105514091,0.004457786925919627,0.001531746153488955,-0.0031142715859142347
Workshops,0.1961554964737081,0.22231107890721938,-0.010492625118827736,0.30294462461574184,-0.1150655450285464,-0.3439990405986123,-0.7038289347577784,-0.060174615515204276,-0.4129763684438456,0.08032049408800389,-0.09241878652469457,0.0023313837468330796,0.0632692375980599,0.0061598439334982205,0.004846943845281371,0.002806742764299505,2.2347737067091668e-05,0.002055543534886342,0.002775388654226939,-0.0034528049804626844
Certifications,0.21078504201140366,0.23369749005216764,-0.013195925407796653,0.21800255082182995,-0.07396319427697487,-0.15268512397180364,-0.010192972801981894,0.02501619140167228,0.5816679323231819,-0.47680111034934425,-0.4979645592347679,0.021754469829065932,0.09707494848293753,0.008724775113519264,0.0042148531020123475,0.005961384808559407,0.00536055951287412,0.0037171846141622914,0.005340260380592818,-0.00011611977398126851
Publications,0.17720025632383873,0.21186269232064966,-0.005202011669659401,0.5192333326004485,0.27003568826219354,0.74884001762967,0.017527683946618546,-0.012427264373162016,-0.1308099343472245,0.020249936680950816,-0.03426526666521694,-0.0037960753209556977,0.03470997793017634,0.003507745322478111,0.002457841604998432,0.0016119029652276672,0.0004515189342700349,0.0021342913828610627,0.0010429616733024475,-0.0005120182404591455
AptitudeTestScore,0.19404287614597057,0.2622213815365798,-0.11199006786108179,-0.43548502327882627,-0.1893403459478037,0.21827108376829069,-0.020479910920390237,-0.3231523219215079,-0.2519734442282093,-0.45449570012401197,0.06227136068997914,-0.4645792086556627,-0.11220773241360038,0.021736204049548034,0.0061551904142016015,0.006257096369776859,0.008771576968836863,0.007048270696125494,0.003274501254598097,-0.0036753238403311357
SoftSkillsRating,0.19580565026782185,0.22654579142799064,-0.01964446639851598,0.27978562661619205,-0.12243045819344626,-0.3561307782040995,0.7067015904130266,-0.14991916988151496,-0.37977183472703463,0.09359934855358872,-0.103022028480331,-0.0067435234818186834,0.06488467953789039,0.0050280412546470565,0.0033462084077990318,0.0025907202598230775,0.00471562623163649,0.004221447827361427,0.0027692849537904888,-0.0016030240799495587
CodingTestScore,0.2124421053569757,0.27026545377595146,-0.09069200929538818,-0.31083603951844857,-0.11865434482370606,0.13371800002005751,-0.006139855028854522,-0.10144330061963683,-0.05458076333313931,0.02086207900356409,-0.045901883502913264,0.8079022374715527,-0.273506046051681,0.029685014611886423,0.012475958739491103,0.015093735852959042,0.013625436943628437,0.012474335771264602,0.006226447418917761,-0.003937254220983524
MockInterviewScore,0.21825351706471532,0.2295610361358576,-0.009327217224501468,0.18726670581919427,-0.06285946130181004,-0.13560796167800865,0.002079621692525551,0.0033674210425416844,0.2960377122479219,-0.14143252646342075,0.843878330960353,0.06643306217372444,0.1331170084700044,0.008066647187163517,0.0052005626110073755,0.005468898321922347,0.004485563627940974,0.0036499441894306717,0.007902608243324147,-0.005593615130053676
ExtraCurricular,0.08606572635270232,0.13132573091887392,0.9800424522905313,-0.11629602449558668,0.012138573886817767,0.020565004826697365,0.004318568378450348,-0.005799027484520578,-0.021252073427951303,0.0011242644987969274,-0.011086473884657114,-0.0021496061446681525,0.010921482323587927,0.00083116406239476,0.001836803986695383,0.0002366489511052975,0.0027948697837314905,0.0015600925640448687,0.0012764852553707631,8.37935290233126e-05
